01.txt,"O motivo do protesto de ex-comissárias de bordo da Alitalia foi outro, sem qualquer relação com a pandemia ou com a vacinação contra a Covid. Na verdade, as funcionárias se manifestaram contra a perda de empregos e cortes de salários sob a nova companhia aérea ITA. Cerca de 50 trabalhadoras retiraram lentamente seus uniformes em silêncio em frente à sede da Prefeitura de Roma para protestar contra as condições de trabalho de seus colegas recontratados pela nova companhia aérea. A ITA começou a voar no lugar da Alitalia no dia 15 de outubro, depois que a companhia aérea que já foi um símbolo do estilo e glamour italiano foi finalmente fechada, após anos de perdas financeiras e tentativas fracassadas de resgate."
02.txt,"Especialistas deixam claro que a alega‡?o contida na mensagem falsa n?o procede. Na verdade, o que ocorre ‚ o contr rio disso, porque as m scaras protegem. Dados dispon¡veis no DataSUS tamb‚m refutam o boato. O pneumologista Rodolfo Fred Behrsin, professor do Hospital Universit rio Gaffr‚e e Guinle, diz que a afirma‡?o de que tem ocorrido um aumento nas pneumonias bacterianas devido ao uso das m scaras ‚ mentirosa. ""Pelo contr rio. Nesse per¡odo de pandemia, em que as pessoas est?o usando m scaras, essas infec‡?es bacterianas pulmonares tˆm reduzido, entre outros motivos porque as m scaras funcionam como verdadeiras barreiras aos contaminantes do ar ambiente."".""Al‚m disso, as m scaras n?o impedem a elimina‡?o das secre‡?es respirat¢rias"", diz o professor. E essas secre‡?es, no caso do uso de m scaras, ficam retidas nas m scaras, e n?o nos pulm?es. ""Como essa secre‡?o n?o fica retida no pulm?o e, sim, na m scara, isso [que a mensagem exp?e] n?o ‚ real."" Behrsin prop?e um exemplo para tornar o racioc¡nio mais claro. ""Se essa afirma‡?o fosse verdadeira, imagina o que ocorreria com os cirurgi?es e suas respectivas equipes, inclusive no per¡odo pr‚-pandemia. Essas equipes passam o dia no centro cir£rgico e precisam utilizar m scaras. Ent?o isso j  seria um fen“meno pr‚-pandemia. Essas equipes sempre iam ter sempre pessoas afastadas devido a problemas de infec‡?es respirat¢rias, ou seja, por pneumonias. Felizmente essa afirma‡?o n?o corresponde … realidade"", conclui. Celso Padovesi, pneumologista da rede de hospitais S?o Camilo de S?o Paulo, afirma que as m scaras n?o podem causar pneumonia bacteriana. ""Isso ‚ fake. Se uma pessoa com pneumonia bacteriana usar uma m scara e uma outra pessoa pegar essa mesma m scara e utilizar, ainda assim a chance de essa pessoa pegar pneumonia ‚ muito remota"", afirma. O m‚dico explica que o mesmo n?o se pode dizer com rela‡?o ao v¡rus. ""Se a pessoa tem uma doen‡a por v¡rus, como por exemplo o coronav¡rus ou qualquer outro v¡rus respirat¢rio, e uma outra pessoa utilizar a m scara dessa pessoa contaminada, ela at‚ pode contrair o v¡rus da m scara da outra pessoa. Mas acho que isso nem est  em debate porque ningu‚m em s? consciˆncia vai utilizar uma m scara usada por outra pessoa."" Padovesi diz que se a pessoa colocar uma m scara nova, que ela acabou de abrir, mesmo que a m scara n?o esteja totalmente limpa, mesmo que haja bact‚rias nessa mesma m scara, isso n?o vai causar uma pneumonia. ""At‚ porque nosso corpo ‚ cheio de bact‚rias. N¢s convivemos com as bact‚rias. E n?o ‚ isso que que leva uma pessoa a desenvolver pneumonia, s?o outros mecanismos. Ent?o, refor‡ando, m scara n?o pode causar pneumonia bacteriana."" Padovesi diz que a pneumonia bacteriana pode ocorrer em pacientes com Covid internados, sem qualquer rela‡?o com a m scara, por‚m. ""Uma pessoa com uma pneumonia viral tem uma chance muito maior de fazer uma pneumonia bacteriana em cima dessa pneumonia viral, que ‚ a complica‡?o mais comum dos pacientes com Covid. Os pacientes com Covid, que acabam sendo entubados, que tˆm a forma mais grave, a grande maioria vai desenvolver uma pneumonia bacteriana consequente … Covid. Mas tirando isso, n?o houve um aumento de pneumonia por outros motivos."" Os dados dispon¡veis no DataSUS, ali s, n?o mostram um aumento de interna‡?es no per¡odo em que o uso de m scaras passou a ser preconizado. Pelo contr rio. Ou seja, a mensagem falsa n?o tem amparo nos n£meros nem na ciˆncia."
03.txt,"Especialistas ouvidos pela CBN contestam todo o conteúdo do vídeo, e frisam que a segurança das vacinas, que estão na fase 3 dos testes, é aferida já na etapa 1. Eles ressaltam que as pessoas que espalham esse tipo de afirmação falsa se valem do desconhecimento da população quanto às pesquisas que levam a vacinas.Diferentemente das ilações feitas no vídeo, tanto a CoronaVac quanto a vacina de Oxford já foram aplicadas em milhares de voluntários no Brasil e no exterior – a CoronaVac, na China, na Turquia e na Indonésia; a de Oxford, na Inglaterra, nos Estados Unidos e na África do Sul –, sem que tenham sido encontrados efeitos colaterais graves. Ou seja, não é verdade que brasileiros são tratados como “cobaias”.Tampouco há embasamento científico para dizer que adjuvantes de outras vacinas possam causar esses quadros. O mal de Alzheimer e a fibromialgia têm origem desconhecida. O Alzheimer pode ser determinado geneticamente, e a fibromialgia, decorrer de quadros de estresse."
04.txt,"O estudo é justificado cientificamente, descrito no protocolo do ensaio clínico e conduzido por pesquisadores – médicos com qualificação profissional adequada, conhecimento científico e experiência no trabalho com pacientes”. Além disso, o pesquisador é responsável pela obtenção do consentimento consciente de cada participante do estudo.

A vice-chefe da missão acrescentou que, em abril deste ano, “o estudo obteve a autorização legalmente exigida junto ao Gabinete de Registo do PLWMiPB e o parecer favorável da comissão de ética, após cumprir os requisitos estabelecidos no regulamento que rege os ensaios clínicos de medicamentos”.

A pesquisa tem três fases e o objetivo é determinar a dose e avaliar a segurança, a tolerabilidade e a imunogenicidade. O estudo de fase II/III é cego para observador controlado por placebo para determinar a segurança, a tolerabilidade e a imunogenicidade da vacina candidata de RNA Sars-CoV-2 contra covid-19 em crianças saudáveis menores de 12 anos. Siuda-Ambroziak ressalta que a fase I da pesquisa já foi realizada nos Estados Unidos.

Quanto ao procedimento adotado para as pesquisas com crianças, a chefe da Missão explica que, os regulamentos poloneses preveem a necessidade de consentimento do representante legal da criança menor de 13 anos."
05.txt,"Apesar de, de fato, a cloroquina e hidroxicloroquina apresentarem resultados positivos contra o novo coronavírus, ainda não é possível apontar essa medicação como cura definitiva. Apesar disso, o presidentes dos EUA, Donald Trump, aprovou o tratamento contra a malária para combater a Covid-19 no país. É importante destacar que a Food and Drug Administration (FDA), o órgão similar à Anvisa, nos EUA, admitiu que mais testes são necessários para comprovar a verdadeira eficácia do remédio e liberar a medicação para o tratamento da Covid-19.Até o momento, há duas pesquisas bastante promissoras nesse sentido. Uma pesquisa chinesa indicou que a hidroxicloroquina tem uma ação interessante contra o vírus. Porém, toda a pesquisa foi feita com células in vitro. Ou seja, não foi testada em humanos. Já uma pesquisa realizada na França usou 36 pacientes humanos e também mostrou resultados animadores. Entretanto, além do número de cobaias ser pequeno, não houve randomização (uma separação aleatória de grupos de pacientes, evitando que fatores externos influencie nos resultados da pesquisa)."
06.txt,"Em nenhum momento Bill Gates falou que as vacinas não funcionam ou que falharam. O empresário apenas explicou o que já é de conhecimento de todos e, inclusive, afirmou que é possível produzir vacinas melhores no futuro. Além disso, Bill Gates é um grande entusiasta das vacinas. Em novembro de 2021, Bill Gates afirmou em sua conta no Twitter que para enfrentar os maiores desafios globais de saúde, os países devem ter acesso a vacinas. Em outro tuíte, parabenizou a Índia pelos avanços na vacinação."
07.txt,"A pneumologista da ENSP, Patrícia Canto, explica que a Coronavac tem uma eficácia estabelecida nos estudos, até agora, de 50,38%, o que significa que, tomando a vacina, há 50,38% menos chance de desenvolver algum sintoma da doença. Ela destaca que a vacina foi 100% capaz de prevenir a forma grave da doença, incluindo necessidade de internação em UTI e uso de oxigênio. “Isso é muito importante para a redução das mortes e internações”, afirma Patrícia."
08.txt,"O primeiro é no número de mortes. Enquanto o país passa pela maior média móvel de casos desde o início da pandemia (cerca de 35 mil infecções novas por dia), a média de mortes diárias é de cerca de 150 (letalidade de 0,42%). Em 9 de janeiro deste ano (período em que não havia vacinação em massa), o país teve média de 22 mil casos e 850 mortes (letalidade de 3,86%). Ou seja, as vacinas fazem o que foi proposto: reduzem casos graves e mortes."
09.txt,"O estudo, disponibilizado em versão pré-impressa nestaa quinta-feira (15) no site Oxford antes da publicação em um jornal científico, diz que o risco de trombose venosa cerebral ou TVC – também conhecida como trombose do seio venoso cerebral ou CVST – após infecção por Covid-19, também analisado como o risco de desenvolver o coágulo, chega a ser “100 vezes maior do que o normal e várias vezes maior do que após a vacinação ou após a influenza”, em todas as faixas etárias."
10.txt,"Ao olhar o estudo em questão, vimos que, em nenhum momento, ele trata de imunidade natural do ser humano. Na realidade, o “estudo” é um boletim periódico divulgado pelo serviço de saúde pública do Reino Unido que monitora a proporção de casos e mortes por Covid-19 entre vacinados e não vacinados.

Em nenhum momento, o estudo fala que vacinados têm queda na imunidade natural ou menos “adquirem aids”. A única queda apresentada (e esperada) com o passar do tempo é a de queda de anticorpos contra a Covid-19 de vacinados (aferida por meio de exames de sangue em voluntários). Mas aí há duas ponderações importantes a se fazer.A primeira é que a queda de anticorpos (natural com todas as vacinas) pode ser compensada com a dose de reforço (que não causará nenhum problema à saúde das pessoas). A segunda e mais importante é que a queda de anticorpos não significa que as pessoas voltaram à estaca zero de proteção contra a doença.Além dos anticorpos, a vacinação faz com que o corpo fortaleça a resposta imune celular (com os linfócitos T). Apenas eles já diminuem a chance de a pessoa ter casos graves da doença. E a prova disso está nos próprios estudos citados. Os casos graves e mortes continuam ocorrendo, na maioria absoluta, entre não-vacinados."
